record_number,title,doi,retrieval_status,extraction_status,farmed_species,study_system_code,study_system_subcode,study_system_detail,geography,study_objective,paper_type,evidence_generation,study_approach,study_method,study_context,life_stage,fish_origin,facility_code,facility_detail,temporal_scope,study_unit,focal_factor_code,focal_factor_detail,comparison_type,comparison_detail,study_outcome_code,study_outcome_subcode,study_outcome_detail,evidence_section,evidence_passage,extraction_confidence,review_required,new_code_candidate,new_code_parent,new_code_label,full_text_url,retrieval_attempts,last_checked
104-310-034-385-768,"Carbon footprint of alternative protein sources for Atlantic salmon (Salmo salar) aquaculture: A two-step systematic literature review",,obtained,extracted,"Atlantic salmon (Salmo salar)",economic_system,,"aquafeed/protein supply system",,"To quantify the carbon footprint of alternative protein sources relevant to Atlantic salmon aquaculture through a two-step systematic literature review.",review_synthesis,secondary_review,review_synthesis,"review;meta_analysis",documentary_literature,,,,,,diet_feed,"alternative protein sources for salmon feed",system_comparison,"alternative feed/protein sources",environmental,carbon_footprint,"carbon footprint",,,,,high,false,false,,,,,,
81121,"Design, dimensioning, and performance of a research facility for studies on the requirements of fish in RAS environments",10.1016/j.aquaeng.2012.11.002,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,RAS,"NCRA; four independent recirculating aquaculture systems",Norway,"To describe the design and dimensioning of a research facility for studying fish requirements in RAS environments and evaluate its performance during the first years of operation.",empirical_research,empirical,"quantitative;descriptive","case_study;monitoring_assessment","experimental_research;research_aquaculture",parr;smolt,experimental_stock,RAS,"four independent recirculating aquaculture systems","first 3 years of facility operation",tank;fish_group,facility_system,"RAS facility design/performance and feed loading","dose_gradient_comparison;system_comparison","increasing feed loads; observed performance versus design assumptions; growth versus Norwegian industry","environmental;production","water_quality;growth","TAN, nitrite and CO2 concentrations/removal efficiency; feed-load capacity; Atlantic salmon growth rate",methods_results,,high,false,false,,,,https://www.sciencedirect.com/science/article/pii/S0144860912000866,,
75078,"Effects of selenium-enriched prebiotic on the growth performance, innate immune response, oxidative enzyme activity and microbiome of rainbow trout (Oncorhynchus mykiss)",10.1016/j.aquaculture.2020.735980,obtained,extracted,rainbow_trout,aquaculture_production_system,RAS,"rainbow trout production in RAS",,"Evaluate effects of selenoneine-enriched Schizosaccharomyces pombe prebiotic on rainbow trout production and health",empirical_research,empirical,quantitative,"experiment;laboratory_analytical_analysis;genetic_genomic_analysis","experimental_research;research_aquaculture",juvenile,,RAS,"selenoneine-enriched S. pombe diets",,fish_group,diet_feed,"selenoneine-enriched S. pombe at 0, 5 or 10 g kg-1 feed",treatment_comparison_group,"control vs supplemented diets",production,health_disease,"growth performance; lysozyme activity; oxidative enzyme activity; microbiome",methods_results,,high,false,false,,,https://repository.library.noaa.gov/view/noaa/41865/noaa_41865_DS1.pdf,,
81025,"Evaluation of the biosecurity and network of the Irish salmonid farming industry: implications for disease prevention and control",,obtained,extracted,"Atlantic_salmon; rainbow_trout",aquaculture_production_system,multiple,"multiple production settings",Ireland,"Characterize biosecurity, develop a benchmarking score, and test whether biosecurity and farm network indegree predict pathogen richness",empirical_research,empirical,,"survey_questionnaire;observational_study;modelling_simulation;comparative_study",commercial_aquaculture,multiple,,"multiple production settings",,farm_group,management_practice,"biosecurity score; farm network indegree",system_comparison,"freshwater salmon vs seawater salmon vs freshwater trout; biosecurity/indegree predictors",health_disease,policy_governance,"pathogen richness; management performance",,,high,false,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5790274/,,
82667,"A Serving of Farmed Salmon: How the Risks Outweigh the Benefits for Norwegians",,obtained,extracted,Atlantic_salmon,social_system,consumers,consumers,Norway,"Compare contaminant and omega-3 concentrations in Norwegian farmed salmon servings with established intake levels",perspective_opinion,secondary_review,"descriptive;conceptual",comparative_study,documentary_literature,not_applicable,not_applicable,,,diet_feed,"fish oil vs vegetable oil discussed in relation to composition",control_reference,"serving intake vs tolerable/recommended intake; reported concentrations across years",environmental,chemical_contaminants,"contaminants; omega-3; dietary risk-benefit",,,high,true,true,study_system,food_product,https://dioxin20xx.org/wp-content/uploads/pdfs/2006/06-331.pdf,,
091-162-729-204-060,"Threshold-based disease treatment approach modulates economic, conservation and evolutionary trade-offs in sea louse-salmon aquaculture system.",,obtained,extracted,Atlantic_salmon,multiple,,,"domestic production environment; coastal/link environment; wild environment",,"Use a dynamical model with discrete threshold-based treatment to explore evolutionary, conservation and economic outcomes",modelling_simulation,modelled,modelling,modelling_simulation,experimental_research,multiple,,"domestic production environment; no specific facility type specified",,system,disease_pathogen,"sea louse burden; treatment threshold and efficacy",dose_gradient_comparison,"threshold/efficacy variation; economic vs conservation vs evolutionary outcomes",health_disease,economic,"disease burden; economic; ecological/wild population; evolutionary change",,,high,false,false,,https://d-nb.info/1373682507/34,,
72927,"Squid as feed for salmonids",10.1016/0044-8486(87)90154-2,located_not_obtained,blocked,"Atlantic salmon; rainbow trout",aquaculture_production_system,,"aquaculture feeding trials",,"Tested flying squid parts in moist diets for rainbow trout and salmon, replacing Argentine in control diets",empirical_research,empirical,quantitative,comparative_study,experimental_research,adult,,not_applicable,"feed trial; full text not obtained",,fish_group,diet_feed,"squid parts replacing Argentine in diets",treatment_comparison_group,"three squid parts vs Argentine control",production,growth,"weight; length; condition factor; carcass percentage; dry matter; fat content",abstract,,medium,true,false,,,,https://www.sciencedirect.com/science/article/pii/0044848687901542,"Publisher page/abstract; no usable full text located",2026-08-18
77054,"Marine netpen farming leads to infections with some unusual parasites",10.1016/S0020-7519(00)00018-7,located_not_obtained,blocked,"Atlantic salmon; rainbow trout; Chinook salmon",aquaculture_production_system,marine_netpen,"marine netpen farming",Pacific Northwest; Chile; Tasmania; Atlantic Canada,"Describe unusual parasite infections associated with salmonid marine netpen farming",perspective_review,secondary_review,descriptive,review,documentary_literature,multiple,,marine_netpen,"marine netpens",,fish_group,environmental_condition,"marine netpen environment",system_comparison,"introduced hosts/new geographic areas and indigenous hosts in marine netpen conditions",health_disease,parasitology,"unusual parasite infections and host-parasite relationships",introduction_results,,medium,true,false,,,,https://www.sciencedirect.com/science/article/abs/pii/S0020751900000187,"PubMed and ScienceDirect abstract/full-page search; no usable full text located",2026-08-18
82654,"Neuroendocrine factors involved in appetite control and feed intake in Atlantic salmon (Salmo salar) reared in Recirculating Aquaculture Systems (RAS)",,located_not_obtained,blocked,Atlantic_salmon,aquaculture_production_system,RAS,"Atlantic salmon reared in RAS",Norway,"Study of appetite regulation and feed intake in Atlantic salmon reared in RAS",thesis,secondary_metadata,unknown,thesis,experimental_research,post_smolt,,RAS,"intensive post-smolt RAS production",,fish_group,physiological,"appetite regulation; feed intake",, ,physiological,appetite,"appetite regulation and feed intake",metadata_only,,low,true,false,,,,https://www4.uib.no/en/find-employees/Sigurd.Olav.Handeland,"University/project pages and report located; thesis full text not obtained",2026-08-18
81696,"New on the Menu: Genetically Modified Salmon",10.1001/jama.2015.17339,obtained,extracted,Atlantic_salmon,aquaculture_production_system,land_based_tank,"land-based hatchery tanks in Canada and Panama",Canada; Panama,"Report FDA approval of genetically engineered AquAdvantage Salmon and describe its production, safety and environmental assessment",reported_secondary_information,secondary_review,descriptive,news_article,documentary_literature,not_applicable,,land_based_tank,"land-based hatchery tanks",2016,document,farming_technology,"genetic modification; AquAdvantage Salmon",system_comparison,"genetically engineered salmon versus conventional farm-raised Atlantic salmon",policy_governance,food_safety,"regulatory approval; nutritional equivalence; environmental containment; production growth",full_text,,high,false,false,,,,https://www.researchgate.net/publication/289734672_New_on_the_Menu_Genetically_Modified_Salmon,"ResearchGate publisher-preview/full-text text; JAMA record",2026-08-18
82603,"Microbiological monitoring of an Atlantic salmon recirculating aquaculture system (RAS) – Health and quality assessment",,located_not_obtained,blocked,Atlantic_salmon,aquaculture_production_system,RAS,"Atlantic salmon RAS",,"Microbiological monitoring for health and quality assessment in an Atlantic salmon RAS",empirical_research,empirical,unknown,monitoring_assessment,research_aquaculture,unknown,,RAS,"recirculating aquaculture system",,system,microbiology,"microbiological monitoring",, ,health_disease,microbiology,"microbiological health and quality assessment",metadata_only,,low,true,false,,,,https://www.sciencedirect.com/author/6602987414/ingrid-k-bakke,"Title search and author publication searches; exact full text not located",2026-08-18
